species;year;month;lon;lat
Pelophylax ridibundus;2022;3;-0,66289;38,044867
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1978;7;-4,75;32,68333
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;10;-5,81188;36,8155
Pelophylax ridibundus;2018;8;3,624276;36,448697
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1976;12;-9,01611;31,5775
Pelophylax ridibundus;1978;7;-4,23278;31,43611
Pelophylax ridibundus;1978;7;-4,75;32,68333
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1978;7;-4,23278;31,43611
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1978;7;-4,75;32,68333
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1955;1;-4,28806;31,85528
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1978;7;-4,75;32,68333
Pelophylax ridibundus;1978;7;-4,23278;31,43611
Pelophylax ridibundus;1976;12;-9,01611;31,5775
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1977;1;-6,91667;30,91667
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1977;1;-6,43333;30,7
Pelophylax ridibundus;1976;12;-9,01611;31,5775
Pelophylax ridibundus;1976;12;-6,42722;34,40222
Pelophylax ridibundus;1981;3;-3,397;36,743999
Pelophylax ridibundus;1981;7;-3,264;37,006001
Pelophylax ridibundus;1981;7;-3,264;37,006001
Pelophylax ridibundus;1981;1;-5,132;35,455002
Pelophylax ridibundus;1981;4;-3,397;36,743999
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1974;5;9,479167;24,5615
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1974;5;9,479167;24,5615
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1974;5;9,479167;24,5615
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1974;5;9,479167;24,5615
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1974;5;9,479167;24,5615
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1974;5;9,479167;24,5615
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1974;5;9,479167;24,5615
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1973;7;5,447333;22,618333
Pelophylax ridibundus;1974;5;9,479167;24,5615
Amnirana galamensis;2010;11;-4,72735;13,810649
Amnirana galamensis;2003;3;-1,477317;8,768767
Amnirana galamensis;2006;4;9,141215;6,42593
Amnirana galamensis;1961;9;-0,183333;5,65
Amnirana galamensis;1998;6;-0,688056;5,321389
Amnirana galamensis;1979;4;-12,22;8,320833
Amnirana galamensis;1979;3;-12,083333;8,1
Amnirana galamensis;2018;3;2,392631;6,943107
