"";"...1";"species";"year";"month";"lon";"lat";"year_month";"tme";"ele"
"1";1;"Rana dalmatina";2012;5;2,06806;46,50429;2012,375;14,3572937011719;297
"2";2;"Lithobates clamitans";2021;12;-77,107738;36,950358;2021,9;10,4253173828125;38
"3";3;"Sylvirana guentheri";2014;4;121,16163;24,784924;2014,3;20,342919921875;213
"4";4;"Lithobates johni";1956;6;-98,790832;21,290833;1956,45;23,360986328125;202
"5";5;"Rana pyrenaica";2011;5;-0,65564;43,0418;2011,375;12,5580688476563;580
"6";6;"Sanguirana sanguinea";1984;6;119,175;10,0743;1984,45;26,0955444335938;243
"7";7;"Rana temporaria";2016;8;6;52,75;2016,6;17,8652587890625;-3
"8";8;"Pelophylax perezi";1970;4;-5,37;40,15;1970,3;8,93020019531252;409
"9";9;"Lithobates clamitans";2019;8;-72,062286;42,193805;2019,6;21,8228698730469;189
"10";10;"Rana temporaria";1991;4;4,6;52,1;1991,3;8,37911376953127;-6
"11";11;"Rana temporaria";2006;4;13,36;47,94;2006,3;6,41982421875002;639
"12";12;"Lithobates pipiens";2020;9;-73,13591;45,36207;2020,675;15,2480712890625;45
"13";13;"Rana temporaria";2006;5;6,10848;46,29108;2006,375;12,2226501464844;470
"14";14;"Rana temporaria";2020;9;-0,261866;51,96096;2020,675;14,7656494140625;67
"15";15;"Rana temporaria";2000;3;-0,598836;52,5985;2000,225;7,1097351074219;80
"16";16;"Lithobates clamitans";2018;7;-94,619592;31,627603;2018,525;29,2286010742188;125
"17";17;"Pelophylax lessonae";2021;5;5,9;51,4;2021,375;11,5375610351563;34
"18";18;"Lithobates berlandieri";2020;6;-97,64359;30,68347;2020,45;27,3577209472656;208
"19";19;"Lithobates catesbeianus";2021;7;-95,777813;29,752108;2021,525;26,7814880371094;40
"20";20;"Rana dalmatina";2010;4;16,49778;56,60956;2010,3;4,88173828125002;44
"21";21;"Rana temporaria";2021;7;0,149461;52,17933;2021,525;17,8537536621094;16
"22";22;"Rana temporaria";1980;1;13,15;47,8;1980,075;-5,55246582031248;716
"23";23;"Rana temporaria";2019;6;7,60114;46,38875;2019,45;10,0245300292969;2651
"24";24;"Rana temporaria";2012;3;9,559738;56,20286;2012,225;5,82467041015627;72
"25";25;"Lithobates sylvaticus";1985;7;-76,90287;44,74103;1985,525;20,2475219726563;199
"26";26;"Rana temporaria";2018;6;9,653677;56,29703;2018,45;16,8312622070313;25
"27";27;"Lithobates berlandieri";2008;9;-98,50517;21,13739;2008,675;22,199853515625;214
"28";28;"Rana temporaria";2008;4;8,66647;47,50674;2008,3;6,89571533203127;527
"29";29;"Odorrana swinhoana";2017;9;121,583146;24,965924;2017,675;26,7365966796875;261
"30";30;"Lithobates catesbeianus";2021;9;-123,111094;44,083798;2021,675;17,6806884765625;123
"31";31;"Lithobates sylvaticus";2019;6;-72,62647;41,31244;2019,45;18,9249206542969;42
"32";32;"Lithobates pipiens";1960;7;-107,1014;37,20002;1960,525;17,7951904296875;2395
"33";33;"Rana arvalis";2021;4;6,65;53,05;2021,3;6,14760742187502;8
"34";34;"Rana luteiventris";1955;7;-110,3964;44,55816;1955,525;13,3802429199219;2376
"35";35;"Rana temporaria";2012;4;5,8;50,85;2012,3;8,23562011718752;139
"36";36;"Rana dalmatina";2007;3;9,01525;45,83807;2007,225;7,39431152343752;245
"37";37;"Rana dalmatina";1988;3;15,97592;56,3955;1988,225;-0,311804199218727;22
"38";38;"Lithobates sylvaticus";2020;5;-81,18063;41,07917;2020,375;13,676416015625;354
"39";39;"Pelophylax lessonae";2016;5;6,35;52,2;2016,375;14,5623718261719;11
"40";40;"Lithobates sphenocephalus";2018;7;-96,77889;30,08293;2018,525;29,1680541992188;133
"41";41;"Rana temporaria";2006;4;-1,27642;52,69447;2006,3;7,69326171875002;190
"42";42;"Rana temporaria";2015;6;7,40555;47,33336;2015,45;16,3605590820313;615
"43";43;"Rana temporaria";2013;5;-1,564661;50,74025;2013,375;NA;4
"44";44;"Rana arvalis";1994;10;12,276469;56,049119;1994,75;8,09877929687502;37
"45";45;"Nidirana adenopleura";2015;10;121,564749;25,106763;2015,75;23,1169067382813;184
"46";46;"Lithobates catesbeianus";2021;5;-96,778565;28,507628;2021,375;24,3520141601563;10
"47";47;"Rana dalmatina";2009;4;3,39123;48,72008;2009,3;11,4140563964844;187
"48";48;"Rana temporaria";2019;7;4,8;52,1;2019,525;18,6994262695313;-3
"49";49;"Rana temporaria";2021;9;5,65;51,95;2021,675;16,3232666015625;7
"50";50;"Rana temporaria";2004;4;8,20256;47,5557;2004,3;8,99166259765627;465
"51";51;"Sylvirana guentheri";2021;10;120,747197;24,033666;2021,75;23,5327392578125;238
"52";52;"Hylarana latouchii";2018;12;120,8093;22,22153;2018,9;21,5381103515625;315
"53";53;"Rana temporaria";2018;4;8,80034;47,55022;2018,3;12,82705078125;420
"54";54;"Lithobates forreri";1982;7;-109,1078;27,20972;1982,525;28,5554443359375;122
"55";55;"Lithobates clamitans";1996;7;-78,8525;42,8463;1996,525;20,6347595214844;179
"56";56;"Hylarana latouchii";2014;12;120,6494;22,62174;2014,9;17,5375610351563;163
"57";57;"Rana temporaria";1987;12;-1,215953;52,76601;1987,9;5,61873779296877;51
